"Candidate","Party","Votes","State","Const"
"SHIVKUMAR SINGH SHYAM","Rashtriya Gondvana Party",6327,"Chhattisgarh","Chhattisgarh - SARGUJA"
"KUMAIT RAM SANDIL","Independent",494,"Chhattisgarh","Chhattisgarh - SARGUJA"
"RAMNATH CHEARWA","Shoshit Samaj Dal",6326,"Chhattisgarh","Chhattisgarh - SARGUJA"
"ADVOCATE KUNJ BIHARI SINGH PAIKRA","Bahujan Mukti Party",6324,"Chhattisgarh","Chhattisgarh - SARGUJA"
"None of the Above","None of the Above",6322,"Chhattisgarh","Chhattisgarh - SARGUJA"
"VISHNU DEO SAI","Bharatiya Janata Party",6337,"Chhattisgarh","Chhattisgarh - RAIGARH"
"ARTI SINGH","Indian National Congress",6334,"Chhattisgarh","Chhattisgarh - RAIGARH"
"KRIPA SHANKAR BHAGAT","Bahujan Samaj Party",6332,"Chhattisgarh","Chhattisgarh - RAIGARH"
"PRAKASH KUMAR URANW","Independent",6331,"Chhattisgarh","Chhattisgarh - RAIGARH"
"TARA SINGH RATHIYA","Aam Aadmi Party",3074,"Chhattisgarh","Chhattisgarh - RAIGARH"
"KRIPARAM SIDAR","Gondvana Gantantra Party",6330,"Chhattisgarh","Chhattisgarh - RAIGARH"
"BAJARANG SIDAR","Independent",6329,"Chhattisgarh","Chhattisgarh - RAIGARH"
"RAM NARAYAN AYAM","Ambedkarite Party of India",6340,"Chhattisgarh","Chhattisgarh - RAIGARH"
"DHANANJAY RATHIYA","Independent",6339,"Chhattisgarh","Chhattisgarh - RAIGARH"
"AMRIT TIRKEY","Independent",6338,"Chhattisgarh","Chhattisgarh - RAIGARH"
"JOSEPH BARA","Independent",6336,"Chhattisgarh","Chhattisgarh - RAIGARH"
"PAULUS KUJUR","Bahujan Mukti Party",6335,"Chhattisgarh","Chhattisgarh - RAIGARH"
"None of the Above","None of the Above",6333,"Chhattisgarh","Chhattisgarh - RAIGARH"
"KAMLA PATLE","Bharatiya Janata Party",6350,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"PREM CHAND JAYASI","Indian National Congress",6348,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"DUJ RAM BOUDDH","Bahujan Samaj Party",6341,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"DADOO RAM MANHAR","Aam Aadmi Party",6342,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"VRINDA CHAUHAN","Independent",6354,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"LAKHAN LAL LAHRE","Independent",6353,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"SATYENDRA BHANDARI","Ambedkarite Party of India",6352,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"PREMSHANKAR MAHILANGE","Independent",6351,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"DEEPAK NARANG","Independent",6349,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"CHAITRAM SURYAVANSHI ADHIWAKTA","Independent",6347,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"JEEVAN LAL BHARATI","Independent",6346,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"JAGDISH PRASAD NIRALA","Independent",6345,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"LAKHAN LAL CHAUHAN","Bahujan Mukti Party",6344,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"NOHAR SINGH SONWANI","Samajwadi Party",468,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"KAUSHAL PRASAD NAVARANG","Independent",3684,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"None of the Above","None of the Above",6343,"Chhattisgarh","Chhattisgarh - JANJGIR-CHAMPA"
"DR. BANSHILAL MAHTO","Bharatiya Janata Party",6371,"Chhattisgarh","Chhattisgarh - KORBA"
"CHARAN DAS MAHANT","Indian National Congress",6370,"Chhattisgarh","Chhattisgarh - KORBA"
"HIRASINGH MARKAM","Gondvana Gantantra Party",6373,"Chhattisgarh","Chhattisgarh - KORBA"
"JEEVAN LAL RAOUTEL","Independent",6358,"Chhattisgarh","Chhattisgarh - KORBA"
"AMAR NATH PANDEY","Aam Aadmi Party",6356,"Chhattisgarh","Chhattisgarh - KORBA"
"DHANSINGH DHURVE","Bahujan Samaj Party",6355,"Chhattisgarh","Chhattisgarh - KORBA"
"PRATAP BHANU","Independent",6378,"Chhattisgarh","Chhattisgarh - KORBA"
"CHARAN BHAYA","Independent",6376,"Chhattisgarh","Chhattisgarh - KORBA"
"JATA SHANKAR PANDAY","Independent",6375,"Chhattisgarh","Chhattisgarh - KORBA"
"S.R. ANCHAL","Independent",6374,"Chhattisgarh","Chhattisgarh - KORBA"
"CHANDRA BHUSHAN PRATAP SINGH KANWAR","Ambedkarite Party of India",6372,"Chhattisgarh","Chhattisgarh - KORBA"
"LAXMAN LAL KAIWART","Chhattisgarhiya Party",6369,"Chhattisgarh","Chhattisgarh - KORBA"
"PHULESHWAR PRASAD SURAJIHA","Independent",6368,"Chhattisgarh","Chhattisgarh - KORBA"
"RAJESH KUMAR PANDEY","Independent",6367,"Chhattisgarh","Chhattisgarh - KORBA"
"DR.URMILA SINGH MARKO","Rashtriya Gondvana Party",6366,"Chhattisgarh","Chhattisgarh - KORBA"
"HARBHAJAN SINGH SHYAM","Independent",6365,"Chhattisgarh","Chhattisgarh - KORBA"
"RAJENDRA SINGH KANWAR","Chhattisgarh Swabhiman Manch",6364,"Chhattisgarh","Chhattisgarh - KORBA"
"MOHAN LAL BARGAHI","Independent",6363,"Chhattisgarh","Chhattisgarh - KORBA"
"FATTE SINGH SHYAM","Independent",6362,"Chhattisgarh","Chhattisgarh - KORBA"
"KEWAL GOSWAMI","Samajwadi Party",1273,"Chhattisgarh","Chhattisgarh - KORBA"
"SEKH RAUF","Independent",6361,"Chhattisgarh","Chhattisgarh - KORBA"
"RAJESH KUMAR MAHANT","Janata Dal  (United)",6360,"Chhattisgarh","Chhattisgarh - KORBA"
"KAMAL DEO","Bhartiya Shakti Chetna Party",6359,"Chhattisgarh","Chhattisgarh - KORBA"
"SHAMBHU PRASAD SHARMA ADVOCATE","Independent",6357,"Chhattisgarh","Chhattisgarh - KORBA"
"None of the Above","None of the Above",6377,"Chhattisgarh","Chhattisgarh - KORBA"
"LAKHAN LAL SAHU","Bharatiya Janata Party",6391,"Chhattisgarh","Chhattisgarh - BILASPUR"
"KARUNA SHUKLA","Indian National Congress",6386,"Chhattisgarh","Chhattisgarh - BILASPUR"
"DHARAM BHARGAV","Bahujan Samaj Party",6385,"Chhattisgarh","Chhattisgarh - BILASPUR"
"ANAND MISHRA","Aam Aadmi Party",6384,"Chhattisgarh","Chhattisgarh - BILASPUR"
"PRAKASH SURYA","Independent",6381,"Chhattisgarh","Chhattisgarh - BILASPUR"
"BALDAU PRASAD SAHU","Independent",6380,"Chhattisgarh","Chhattisgarh - BILASPUR"
"DINESH KUMAR SINGH KHUSRO NIKHIL","Independent",6379,"Chhattisgarh","Chhattisgarh - BILASPUR"
"DILIP KOSHLE","Independent",6082,"Chhattisgarh","Chhattisgarh - BILASPUR"
"DAOSINGH MARAVI","Independent",6390,"Chhattisgarh","Chhattisgarh - BILASPUR"
"ENG. RAMFAL MANDREY","Ambedkarite Party of India",6389,"Chhattisgarh","Chhattisgarh - BILASPUR"
"GANESH YADAV","Gondvana Gantantra Party",6388,"Chhattisgarh","Chhattisgarh - BILASPUR"
"RAM SINGH PANDRAM (PENDRO)","Independent",6387,"Chhattisgarh","Chhattisgarh - BILASPUR"
"DAYADAS LAHRE","Independent",5853,"Chhattisgarh","Chhattisgarh - BILASPUR"
"JAITRAM KHANDE","Independent",4801,"Chhattisgarh","Chhattisgarh - BILASPUR"
"SARITA VIJAY SONI","Independent",2756,"Chhattisgarh","Chhattisgarh - BILASPUR"
"AJAY PALI","Independent",1250,"Chhattisgarh","Chhattisgarh - BILASPUR"
"MANIK DAHARIYA","Independent",6383,"Chhattisgarh","Chhattisgarh - BILASPUR"
"SALIKRAM JOGI","Independent",2407,"Chhattisgarh","Chhattisgarh - BILASPUR"
"RAMJI SAHU","Chhattisgarh Swabhiman Manch",6382,"Chhattisgarh","Chhattisgarh - BILASPUR"
"DHANIRAM YADAV","Samajwadi Party",4088,"Chhattisgarh","Chhattisgarh - BILASPUR"
"RAMESHWAR KEWAT","Independent",3722,"Chhattisgarh","Chhattisgarh - BILASPUR"
"LAKHAN LAL SAHU","Independent",4566,"Chhattisgarh","Chhattisgarh - BILASPUR"
"DHANIRAM KHARE","Republican Paksha (Khoripa)",3680,"Chhattisgarh","Chhattisgarh - BILASPUR"
"LAKHANLAL SAHU","Independent",368,"Chhattisgarh","Chhattisgarh - BILASPUR"
"LAKHAN LAL SAHU","Independent",368,"Chhattisgarh","Chhattisgarh - BILASPUR"
"LAKHANLAL SAHU","Independent",5247,"Chhattisgarh","Chhattisgarh - BILASPUR"
"None of the Above","None of the Above",6392,"Chhattisgarh","Chhattisgarh - BILASPUR"
"ABHISHEK SINGH","Bharatiya Janata Party",6403,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"KAMLESHWAR VERMA","Indian National Congress",6399,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"ANAND SAHU","Bahujan Samaj Party",6397,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"NARENDRA BANSOD ADVOCATE","Ambedkarite Party of India",6396,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"SAHUKAR BHASKAR","Independent",6395,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"WAMANRAO BAGDE","Independent",6394,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"BHASKAR DWIVEDI","Aam Aadmi Party",6393,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"SANTOSH CHANDRAKAR","Gondvana Gantantra Party",6402,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"RAMESH YADAV","Independent",862,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"KHEMRAJ LODHI","Independent",6401,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"MURAD BHAI","Independent",6400,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"BHAGAT SONI","Chhattisgarh Swabhiman Manch",2989,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"LODHI SEEMA KAUSHIK","Samajwadi Party",341,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"None of the Above","None of the Above",6398,"Chhattisgarh","Chhattisgarh - RAJNANDGAON"
"TAMRADHWAJ SAHU","Indian National Congress",6412,"Chhattisgarh","Chhattisgarh - DURG"
"SAROJ PANDEY","Bharatiya Janata Party",6411,"Chhattisgarh","Chhattisgarh - DURG"
"VISHWA RATNA SINHA","Aam Aadmi Party",1374,"Chhattisgarh","Chhattisgarh - DURG"
"ARUN JOSHI","Independent",6409,"Chhattisgarh","Chhattisgarh - DURG"
"MUNNA CHANDRAKAR","Bahujan Samaj Party",6408,"Chhattisgarh","Chhattisgarh - DURG"
"AATMA RAM SAHU","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)",6405,"Chhattisgarh","Chhattisgarh - DURG"
"KSHITIJ KUMAR SHAMBHARKAR","Republican Paksha (Khoripa)",6414,"Chhattisgarh","Chhattisgarh - DURG"
"ALFRED VIKAS LOUISE","Independent",6413,"Chhattisgarh","Chhattisgarh - DURG"
"SHRIKANT SHAH","Janata Dal  (United)",5938,"Chhattisgarh","Chhattisgarh - DURG"
"SHEEMA RAHANGDALE","Ambedkarite Party of India",6410,"Chhattisgarh","Chhattisgarh - DURG"
"SUBODH KUMAR GUPTA","Republican Party of India (A)",3746,"Chhattisgarh","Chhattisgarh - DURG"
"JINENDRA GHRITLAHARE","Independent",2263,"Chhattisgarh","Chhattisgarh - DURG"
"SHAILENDRA BANJARE (SHAKTIPURTA)","Shakti Sena (Bharat Desh)",2467,"Chhattisgarh","Chhattisgarh - DURG"
"HIRALAL ANNANT","Independent",1809,"Chhattisgarh","Chhattisgarh - DURG"
"SAHETRU SINGH","Independent",3266,"Chhattisgarh","Chhattisgarh - DURG"
"JAI PRAKASH NAIR","Communist Party of India  (Marxist-Leninist)  (Liberation)",5568,"Chhattisgarh","Chhattisgarh - DURG"
"ENGG. CHANDRAPRAKASH MANDLE","Independent",3709,"Chhattisgarh","Chhattisgarh - DURG"
"A.K.MOHAN","All India Trinamool Congress",403,"Chhattisgarh","Chhattisgarh - DURG"
"MANNU LAL PARGANIHA","Chhattisgarh Swabhiman Manch",2575,"Chhattisgarh","Chhattisgarh - DURG"
"SARJU PRASAD SHUKLA","Independent",2727,"Chhattisgarh","Chhattisgarh - DURG"
"BHARAT BHUSHAN PANDEY","Communist Party of India (Marxist-Leninist) Red Star",2154,"Chhattisgarh","Chhattisgarh - DURG"
"ADHIWAKTA NARENDRA GUPTA","Bhrashtachar Mukti Morcha",1551,"Chhattisgarh","Chhattisgarh - DURG"
"SHITKARAN MAHILVAR","Independent",5130,"Chhattisgarh","Chhattisgarh - DURG"
"DIWAKAR BAIRAGI","Independent",6406,"Chhattisgarh","Chhattisgarh - DURG"
"RADHA BAI YADAV","Independent",6404,"Chhattisgarh","Chhattisgarh - DURG"
"BALDAU PRASAD SAHU","Independent",2387,"Chhattisgarh","Chhattisgarh - DURG"
"None of the Above","None of the Above",6407,"Chhattisgarh","Chhattisgarh - DURG"
"RAMESH BAIS","Bharatiya Janata Party",6424,"Chhattisgarh","Chhattisgarh - RAIPUR"
"SATYA NARAYAN SHARMA (SATTU BHAIYA)","Indian National Congress",6422,"Chhattisgarh","Chhattisgarh - RAIPUR"
"SANDEEP TIWARI","Aam Aadmi Party",6416,"Chhattisgarh","Chhattisgarh - RAIPUR"
"GURUJI VIRENDRA KUMAR DAHARIYA","Bahujan Samaj Party",6415,"Chhattisgarh","Chhattisgarh - RAIPUR"
"OM PRAKASH DANDE","Independent",4996,"Chhattisgarh","Chhattisgarh - RAIPUR"
"SHAMEEM KHAN","Independent",893,"Chhattisgarh","Chhattisgarh - RAIPUR"
"ABDUL SAFIQ KHAN","Independent",4816,"Chhattisgarh","Chhattisgarh - RAIPUR"
"AJAY VERMA","Chhattisgarh Swabhiman Manch",6423,"Chhattisgarh","Chhattisgarh - RAIPUR"
"KAMALUDDIN","Independent",6421,"Chhattisgarh","Chhattisgarh - RAIPUR"
"UMESH KUMAR VERMA","Independent",1497,"Chhattisgarh","Chhattisgarh - RAIPUR"
"RIJHENDRA DAHARIYA","Independent",5336,"Chhattisgarh","Chhattisgarh - RAIPUR"
"SHANKAR LAL VARANDANI","Independent",5393,"Chhattisgarh","Chhattisgarh - RAIPUR"
"ANIL KUMAR UMRE","Ambedkarite Party of India",6364,"Chhattisgarh","Chhattisgarh - RAIPUR"
"RAMGOPAL VERMA","All India Trinamool Congress",6420,"Chhattisgarh","Chhattisgarh - RAIPUR"
"KRANTI CHANDRAKAR","Independent",6419,"Chhattisgarh","Chhattisgarh - RAIPUR"
"NAARAD PRASAD NISHAD","Independent",6418,"Chhattisgarh","Chhattisgarh - RAIPUR"
"LALIT KUMAR PATEL","Independent",1726,"Chhattisgarh","Chhattisgarh - RAIPUR"
"SATANAMI SANTOSH DAHARIYA","Independent",5189,"Chhattisgarh","Chhattisgarh - RAIPUR"
"RAMKRISHNA VERMA","Independent",4468,"Chhattisgarh","Chhattisgarh - RAIPUR"
"MAHESH HARPAL","Shakti Sena (Bharat Desh)",1565,"Chhattisgarh","Chhattisgarh - RAIPUR"
"KRISHNANANDAN SINGH","Independent",6417,"Chhattisgarh","Chhattisgarh - RAIPUR"
"NAVEEN GUPTA","Samajwadi Party",2406,"Chhattisgarh","Chhattisgarh - RAIPUR"
"MEERA SHARMA","Independent",429,"Chhattisgarh","Chhattisgarh - RAIPUR"
"BISAHAT KURRE","Communist Party of India  (Marxist-Leninist)  (Liberation)",1803,"Chhattisgarh","Chhattisgarh - RAIPUR"
"NARESH TANDI","Independent",386,"Chhattisgarh","Chhattisgarh - RAIPUR"
"MADAN LAL SAHU","Communist Party of India (Marxist-Leninist) Red Star",1819,"Chhattisgarh","Chhattisgarh - RAIPUR"
"YASMIN BEG","Independent",544,"Chhattisgarh","Chhattisgarh - RAIPUR"
"OMPRAKASH MESHRAM","Republican Paksha (Khoripa)",90,"Chhattisgarh","Chhattisgarh - RAIPUR"
"TARZAN JANGDE","Independent",4059,"Chhattisgarh","Chhattisgarh - RAIPUR"
"IMRRAN PASHA","Aazadi Ka Antim Aandolan Dal",5882,"Chhattisgarh","Chhattisgarh - RAIPUR"
"MOINUDIN TANVAR(MONU)","Independent",4046,"Chhattisgarh","Chhattisgarh - RAIPUR"
"BASMATI KSHATRIYA","Independent",5081,"Chhattisgarh","Chhattisgarh - RAIPUR"
"TEEKAM KUMAR TONDARE","Independent",2525,"Chhattisgarh","Chhattisgarh - RAIPUR"
"PRAVIN JAIN","Independent",6425,"Chhattisgarh","Chhattisgarh - RAIPUR"
"SAIYYAD JAVED ALI","Independent",4627,"Chhattisgarh","Chhattisgarh - RAIPUR"
"HORILAL YADAV","Independent",4284,"Chhattisgarh","Chhattisgarh - RAIPUR"
"None of the Above","None of the Above",5927,"Chhattisgarh","Chhattisgarh - RAIPUR"
"CHANDU LAL SAHU (CHANDU BHAIYA)","Bharatiya Janata Party",6433,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"AJIT JOGI","Indian National Congress",6432,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"CHANDU LAL SAHU","Independent",6429,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"CHANDU LAL SAHU","Independent",6428,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"CHANDU LAL SAHU","Independent",6427,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"KANHAIYA LAL SAHU","Bahujan Samaj Party",6426,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"CHANDU LAL SAHU","Independent",6436,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"ABHA PANDEY (GUDIA)","Chhattisgarh Swabhiman Manch",6435,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"LAKSHMAN MASTURIYA","Aam Aadmi Party",6434,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"CHANDU LAL SAHU","Independent",1069,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"CHANDOO LAL SAHU","Independent",2845,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"HEMANT PRADHAN","Independent",5113,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"CHANDU RAM SAHU","Independent",3161,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"SUKHNANDAN DESHKAR","Independent",6431,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"PREETI DHRUW","Gondvana Gantantra Party",6430,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"CHAMPA LAL PATEL","Independent",1613,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"CHANDU LAL SAHU","Independent",1287,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"CHANDURAM SAHU","Independent",3262,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"PATEL SHRI DHAR CHANDRAKAR","Apna Dal",1786,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"CHANDU RAM SAHU","Independent",3645,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"VIJAY KUMAR PATEL","Independent",4744,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"MOHAN LAL PATEL","Bhartiya Shakti Chetna Party",3754,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"DR. RUPANAND SOI","Independent",261,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"GANGADHAR PATEL","Independent",3440,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"DEV PRASAD KELKAR","Independent",2219,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"MOTI LAL SAHU","Independent",4628,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"MOTILAL SAHU","Independent",5209,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"None of the Above","None of the Above",6437,"Chhattisgarh","Chhattisgarh - MAHASAMUND"
"DINESH KASHYAP","Bharatiya Janata Party",6441,"Chhattisgarh","Chhattisgarh - BASTAR"
"DEEPAK KARMA (BUNTY)","Indian National Congress",6439,"Chhattisgarh","Chhattisgarh - BASTAR"
"BIMALA SORI","Communist Party of India",6440,"Chhattisgarh","Chhattisgarh - BASTAR"
"SONI SORI","Aam Aadmi Party",6438,"Chhattisgarh","Chhattisgarh - BASTAR"
"AD. MANBODH BAGHEL","Bahujan Samaj Party",6445,"Chhattisgarh","Chhattisgarh - BASTAR"
"ARJUN SINGH THAKUR","Ambedkarite Party of India",5893,"Chhattisgarh","Chhattisgarh - BASTAR"
"SHANKAR THAKUR","Samajwadi Party",6444,"Chhattisgarh","Chhattisgarh - BASTAR"
"COM. DEVCHAND DURUV","Communist Party of India (Marxist-Leninist) Red Star",6443,"Chhattisgarh","Chhattisgarh - BASTAR"
"None of the Above","None of the Above",6442,"Chhattisgarh","Chhattisgarh - BASTAR"
"VIKRAM DEV USENDI","Bharatiya Janata Party",6451,"Chhattisgarh","Chhattisgarh - KANKER"
"FOOLODEVI NETAM","Indian National Congress",6450,"Chhattisgarh","Chhattisgarh - KANKER"
"RAMESH KUMAR GAWDE","Communist Party of India",6448,"Chhattisgarh","Chhattisgarh - KANKER"
"MAHENDRA GAWADE","Independent",6447,"Chhattisgarh","Chhattisgarh - KANKER"
"SANTOSH KUMAR DHRUW","Aam Aadmi Party",6446,"Chhattisgarh","Chhattisgarh - KANKER"
"RAMSAY KORRAM","Bahujan Samaj Party",6455,"Chhattisgarh","Chhattisgarh - KANKER"
"JAMUNA MANDAVI","Chhattisgarh Swabhiman Manch",6454,"Chhattisgarh","Chhattisgarh - KANKER"
"MALIK RAM THAKUR","Ambedkarite Party of India",6453,"Chhattisgarh","Chhattisgarh - KANKER"
"HEMLAL MARKAM","Gondvana Gantantra Party",881,"Chhattisgarh","Chhattisgarh - KANKER"
"AMAL SAY SORI","Independent",6452,"Chhattisgarh","Chhattisgarh - KANKER"
"None of the Above","None of the Above",6449,"Chhattisgarh","Chhattisgarh - KANKER"
"VIJAY KUMAR HANSDAK","Jharkhand Mukti Morcha",6459,"Jharkhand","Jharkhand - Rajmahal"
"HEMLAL MURMU","Bharatiya Janata Party",6458,"Jharkhand","Jharkhand - Rajmahal"
"DR. ANIL MURMU","Jharkhand Vikas Morcha (Prajatantrik)",6466,"Jharkhand","Jharkhand - Rajmahal"
"JYOTIN SOREN","Communist Party of India  (Marxist)",6461,"Jharkhand","Jharkhand - Rajmahal"
"KRISHNA SINGH","Indian Union Muslim League",6456,"Jharkhand","Jharkhand - Rajmahal"
"BARNARD HEMBROM","Rashtriya Krantikari Samajwadi Party",6465,"Jharkhand","Jharkhand - Rajmahal"
"DR. SURAE SOREN","Independent",6464,"Jharkhand","Jharkhand - Rajmahal"
"TALA HANSDA","Independent",1156,"Jharkhand","Jharkhand - Rajmahal"
"ARJUN PRASAD SINGH","AJSU Party",6463,"Jharkhand","Jharkhand - Rajmahal"
"SUNIRAM HEMBROM","Independent",6462,"Jharkhand","Jharkhand - Rajmahal"
"ARUN MARANDI","Bahujan Samaj Party",6460,"Jharkhand","Jharkhand - Rajmahal"
"None of the Above","None of the Above",6457,"Jharkhand","Jharkhand - Rajmahal"
"SHIBU SOREN","Jharkhand Mukti Morcha",6473,"Jharkhand","Jharkhand - Dumka"
"SUNIL SOREN","Bharatiya Janata Party",6472,"Jharkhand","Jharkhand - Dumka"
"BABU LAL MARANDI","Jharkhand Vikas Morcha (Prajatantrik)",6469,"Jharkhand","Jharkhand - Dumka"
"CHHAYA KOLE","Communist Party of India",6471,"Jharkhand","Jharkhand - Dumka"
"SHRILAL KISKU","Independent",6468,"Jharkhand","Jharkhand - Dumka"
"PULIS HEMRAM","Independent",6467,"Jharkhand","Jharkhand - Dumka"
"BAGHRAI SOREN","Independent",6479,"Jharkhand","Jharkhand - Dumka"
"SOKOL HANSDA","Bahujan Samaj Party",6478,"Jharkhand","Jharkhand - Dumka"
"BABULAL SOREN","All India Trinamool Congress",3312,"Jharkhand","Jharkhand - Dumka"
"BITIYA MANJHI","Communist Party of India  (Marxist-Leninist)  (Liberation)",6477,"Jharkhand","Jharkhand - Dumka"
"JOSHIL MURMU","Independent",6476,"Jharkhand","Jharkhand - Dumka"
"STEPHAN BESRA","Jharkhand Disom Party",667,"Jharkhand","Jharkhand - Dumka"
"SAHADEO SOREN","Aam Aadmi Party",6475,"Jharkhand","Jharkhand - Dumka"
"UMANATH KOLE","Independent",6474,"Jharkhand","Jharkhand - Dumka"
"None of the Above","None of the Above",6470,"Jharkhand","Jharkhand - Dumka"
"NISHIKANT DUBEY","Bharatiya Janata Party",6487,"Jharkhand","Jharkhand - Godda"
"FURKAN ANSARI","Indian National Congress",6486,"Jharkhand","Jharkhand - Godda"
"PRADIP YADAV","Jharkhand Vikas Morcha (Prajatantrik)",6482,"Jharkhand","Jharkhand - Godda"
"DAMODAR SINGH","All India Trinamool Congress",6485,"Jharkhand","Jharkhand - Godda"
"SUNIL KUMAR GUPTA","Independent",6484,"Jharkhand","Jharkhand - Godda"
"MANRAJ","Bahujan Samaj Party",6483,"Jharkhand","Jharkhand - Godda"
"RAJVARDHAN AZAD","Janata Dal  (United)",225,"Jharkhand","Jharkhand - Godda"
"SUBODH PRASAD","AJSU Party",6480,"Jharkhand","Jharkhand - Godda"
"NIRANJAN PRASAD YADAV","Independent",6478,"Jharkhand","Jharkhand - Godda"
"MANOJ KUMAR RAY","Independent",5208,"Jharkhand","Jharkhand - Godda"
"NAVIN CHANDRA JHA","Independent",6492,"Jharkhand","Jharkhand - Godda"
"MD. NOOR HASSAN","Samata Party",6491,"Jharkhand","Jharkhand - Godda"
"JAI SHANKAR JHA","Aam Aadmi Party",6490,"Jharkhand","Jharkhand - Godda"
"MD. JENUL","Bahujan Mukti Party",6489,"Jharkhand","Jharkhand - Godda"
"GITA MANDAL","Communist Party of India  (Marxist-Leninist)  (Liberation)",6488,"Jharkhand","Jharkhand - Godda"
"MAHENDRA MURMU","Jharkhand Vikas Dal",4959,"Jharkhand","Jharkhand - Godda"
"None of the Above","None of the Above",6481,"Jharkhand","Jharkhand - Godda"
"SUNIL KUMAR SINGH","Bharatiya Janata Party",6500,"Jharkhand","Jharkhand - Chatra"
"DHIRAJ PRASAD SAHU","Indian National Congress",6495,"Jharkhand","Jharkhand - Chatra"
"NILAM DEVI","Jharkhand Vikas Morcha (Prajatantrik)",6493,"Jharkhand","Jharkhand - Chatra"
"NAGMANI","AJSU Party",6502,"Jharkhand","Jharkhand - Chatra"
"KESHWAR YADAV","Samajwadi Party",6501,"Jharkhand","Jharkhand - Chatra"
"BANWARI SAW","Communist Party of India",6498,"Jharkhand","Jharkhand - Chatra"
"SIMA CHANDRAVANSI","Aam Aadmi Party",6497,"Jharkhand","Jharkhand - Chatra"
"HAJI JAINUL ABEDIN","Bahujan Samaj Party",6496,"Jharkhand","Jharkhand - Chatra"
"RAJ KUMAR PAHAN","Rashtriya Deshaj Party",6494,"Jharkhand","Jharkhand - Chatra"
"RAMNARESH SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",743,"Jharkhand","Jharkhand - Chatra"
"NAUSHAD ALAM","All India Trinamool Congress",6509,"Jharkhand","Jharkhand - Chatra"
"BALWANT KUMAR","Jharkhand Party",6508,"Jharkhand","Jharkhand - Chatra"
"SUDHANSHU SUMAN","Independent",6507,"Jharkhand","Jharkhand - Chatra"
